Marca,Cor,Vendedor,Produto,Tags,Preço Original,Preço Pix,Preço Parcelado,Quantidade de Parcelas
Moleca,Nude,Dafiti,Mule Feminino Moleca Fivela Sintético Nude,"Calçados,Calçados Femininos,Mocassim","R$ 149,99","R$ 89,99","R$ 95,73",1x
Converse,Cinza,Dafiti,Tênis Converse Chuck Taylor All Star Can...,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 299,90","R$ 199,99","R$ 212,76",3x
Santa Lolla,Marrom,Dafiti,Sandália Feminina Santa Lolla Tamanco Ta...,"Calçados,Calçados Femininos,Tamanco","R$ 329,90","R$ 214,99","R$ 228,71",3x
Modare,Marrom,Dafiti,Mocassim Feminino Modare Texturizado Com...,"Calçados,Calçados Femininos,Mocassim","R$ 139,90","R$ 89,99","R$ 95,73",1x
Jorge Bischoff,Caramelo,Dafiti,Sapatilha Jorge Bischoff de Couro Matela...,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Redondo","R$ 399,00","R$ 219,99","R$ 234,03",3x
VIA UNO,Azul,Dafiti,Tênis Feminino VIA UNO Casual Azul,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 149,99","R$ 89,99","R$ 95,73",1x
Bottero,Marrom,Dafiti,Bota Feminina Bottero Cano Médio Marrom,"Calçados,Calçados Femininos,Botas,Bota Cano Médio","R$ 549,99","R$ 389,99","R$ 414,88",6x
Vizzano,Bege,Dafiti,Tênis Feminino Vizzano Casual Bege,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 149,99","R$ 119,99","R$ 127,65",2x
Vizzano,Off-white,Dafiti,Scarpin Feminino Vizzano Salto Médio Tex...,"Calçados,Calçados Femininos,Scarpin","R$ 169,90","R$ 109,99","R$ 117,01",1x
Modare,Marrom,Dafiti,Sandália Feminina Modare Tiras Cruzadas Marrom,"Calçados,Calçados Femininos,Rasteirinhas","R$ 129,90","R$ 99,99","R$ 106,37",1x
VIA UNO,Marrom,Dafiti,Sandália Feminina VIA UNO Salto Bloco Am...,"Calçados,Calçados Femininos,Sandálias","R$ 119,99","R$ 79,99","R$ 85,10",1x
Lança Perfume,Marrom,Dafiti,Bota Feminina Lança Perfume Cano Alto Marrom,"Calçados,Calçados Femininos,Botas,Bota Montaria e Cano Longo","R$ 793,00","R$ 489,99","R$ 521,27",8x
VIA UNO,Preto,Dafiti,Sandália Feminina Via Uno Salto Médio Preta,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 149,99","R$ 99,99","R$ 106,37",1x
Via Marte,Branco,Dafiti,Tênis Feminino Via Marte Branco com Deta...,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 299,99","R$ 159,99","R$ 170,20",2x
Jorge Bischoff,Marrom,Dafiti,Bota Feminina Jorge Bischoff Cano Baixo ...,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 729,00","R$ 369,99","R$ 393,61",6x
Santa Lolla,Nude,Dafiti,Sandália Feminina Santa Lolla Tiras Cruzadas Nude,"Calçados,Calçados Femininos,Sandálias","R$ 229,90","R$ 179,99","R$ 191,48",3x
Jorge Bischoff,Dourado,Dafiti,Sandália Feminina Jorge Bischoff Salto B...,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 599,00","R$ 259,99","R$ 276,59",4x
Anacapri,Off-white,Dafiti,Tênis Slip On Anacapri Textil Off-White,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 209,99","R$ 179,99","R$ 191,48",3x
Luiza Barcelos,Dourado,Dafiti,Rasteira Feminina Luiza Barcelos Tiras M...,"Calçados,Calçados Femininos,Rasteirinhas","R$ 399,90","R$ 274,99","R$ 292,54",4x
Moleca,Marrom,Dafiti,Sapatilha Feminina Moleca Laço Marrom,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 59,90","R$ 39,99","R$ 42,54",1x
Beira Rio,Nude,Dafiti,Scarpin Beira Rio Salto Grosso Nude,"Calçados,Calçados Femininos,Scarpin","R$ 139,99","R$ 99,99","R$ 106,37",1x
Bebecê,Bege,Dafiti,Scarpin Feminino Bebecê Slingback Salto ...,"Calçados,Calçados Femininos,Scarpin","R$ 129,99",N/A,"R$ 129,99",2x
Beira Rio,Nude,Dafiti,Mocassim Beira Rio Bridão Nude,"Calçados,Calçados Femininos,Mocassim","R$ 119,90","R$ 89,99","R$ 95,73",1x
adidas Originals,Off-white,Dafiti,Tênis Feminino adidas Originals Taekwond...,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 799,99","R$ 519,99","R$ 553,18",9x
Vizzano,Bege,Dafiti,Rasteira Feminina Vizzano Detalhe Fivela Bege,"Calçados,Calçados Femininos,Rasteirinhas","R$ 119,90","R$ 54,99","R$ 58,50",1x
Jorge Bischoff,Marrom,Dafiti,Sandália Feminina Jorge Bischoff Couro Marrom,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 649,00","R$ 259,99","R$ 276,59",4x
Jorge Bischoff,Caramelo,Dafiti,Scarpin Jorge Bischoff de Couro Logo Caramelo,"Calçados,Calçados Femininos,Scarpin","R$ 589,00","R$ 289,99","R$ 308,50",5x
Jorge Bischoff,Preto,Dafiti,Sandália Feminina Jorge Bischoff Plataforma Preta,"Calçados,Calçados Femininos,Sandálias,Sandália Plataforma","R$ 499,00","R$ 239,99","R$ 255,31",4x
Via Marte,Branco,Dafiti,Tênis Feminino Via Marte Detalhes Textur...,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 279,99","R$ 219,99","R$ 234,03",3x
Vizzano,Preto,Dafiti,Scarpin Feminino Vizzano Salto Fino Preto,"Calçados,Calçados Femininos,Scarpin","R$ 159,90","R$ 109,99","R$ 117,01",1x
Santa Lolla,Vinho,Dafiti,Bota Feminina Santa Lolla Cano Baixo Couro Vinho,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 349,90","R$ 269,99","R$ 287,22",4x
Modare,Off-white,Dafiti,Tênis Feminino Modare Slip On Knit Off-White,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 199,90","R$ 99,99","R$ 106,37",1x
Lança Perfume,Preto,Dafiti,Bota Feminina Lança Perfume Cano Baixo S...,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 693,00","R$ 429,99","R$ 457,44",7x
Coca Cola,Off-white,Dafiti,Tênis Flatform Coca Cola Lona Off-White,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 219,90","R$ 89,99","R$ 95,73",1x
Luiza Barcelos,Caramelo,Dafiti,Bota Feminina Luiza Barcelos Cano Alto S...,"Calçados,Calçados Femininos,Botas,Bota Montaria e Cano Longo","R$ 1.499,90","R$ 759,99","R$ 808,50",10x
Modare,Caramelo,Dafiti,Tênis Modare Zíper Recortes Caramelo,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 239,90","R$ 159,99","R$ 170,20",2x
VIA UNO,Preto,Dafiti,Bota Feminina VIA UNO Couro Cano Baixo S...,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 239,99","R$ 179,99","R$ 191,48",3x
Modare,Off-white,Dafiti,Tênis Modare Recorte Off-White,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 149,99","R$ 119,99","R$ 127,65",2x
Asics,Cinza,Dafiti,Tênis Feminino Asics Gel Nyc Cinza,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 999,99","R$ 939,98","R$ 999,98",10x
VIA UNO,Dourado,Dafiti,Sandália Feminina Via Uno Salto Anabela Dourada,"Calçados,Calçados Femininos,Tamanco","R$ 139,99","R$ 99,99","R$ 106,37",1x
Santa Lolla,Prata,Dafiti,Rasteira Santa Lolla Com Necessaire Prata,"Calçados,Calçados Femininos,Rasteirinhas","R$ 169,90","R$ 119,99","R$ 127,65",2x
Dakota,Preto,Dafiti,Bota Coturno Dakota Cano Curto Preta,"Calçados,Calçados Femininos,Botas,Coturno e Biker","R$ 289,99","R$ 179,99","R$ 191,48",3x
Luiza Barcelos,Dourado,Dafiti,Tamanco Luiza Barcelos Metalizado Dourada,"Calçados,Calçados Femininos,Tamanco","R$ 559,90","R$ 299,99","R$ 319,14",5x
Luiza Barcelos,Marrom,Dafiti,Bota Feminina Luiza Barcelos Cano Baixo ...,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 999,90","R$ 939,90","R$ 999,89",10x
Capodarte,Preto,Dafiti,Scarpin Baixo Feminino Capodarte Salto Bloco Preto,"Calçados,Calçados Femininos,Scarpin","R$ 660,00","R$ 309,99","R$ 329,78",5x
New Balance,Marrom,Dafiti,Tênis Unissex New Balance 480 Low Marrom,"Calçados,Calçados Femininos,Tênis,Tênis Casual,Calçados Masculinos,Tênis,Tênis Casual","R$ 549,99","R$ 469,99","R$ 499,99",8x
Arezzo,Nude,Dafiti,Scarpin Médio Arezzo Slingback True Sand,"Calçados,Calçados Femininos,Scarpin","R$ 379,99","R$ 357,19","R$ 379,99",6x
Bottero,Caramelo,Dafiti,Rasteira Feminina Bottero Tiras Cruzadas Caramelo,"Calçados,Calçados Femininos,Rasteirinhas","R$ 199,99","R$ 109,99","R$ 117,01",1x
Bottero,Marrom,Dafiti,Mocassim Feminino Bottero Laço Marrom,"Calçados,Calçados Femininos,Mocassim","R$ 279,99","R$ 179,99","R$ 191,48",3x
Santa Lolla,Bege,Dafiti,Rasteira Feminina Santa Lolla Tachas Bege,"Calçados,Calçados Femininos,Rasteirinhas","R$ 269,90","R$ 189,99","R$ 202,12",3x
Santa Lolla,Marrom,Dafiti,Sandália Feminina Santa Lolla Salto Bloco Marrom,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 199,90","R$ 139,99","R$ 148,93",2x
Beira Rio,Marrom,Dafiti,Sandália Feminina Beira Rio Anabela Marrom,"Calçados,Calçados Femininos,Sandálias,Sandália Anabela","R$ 139,99","R$ 99,99","R$ 106,37",1x
Arezzo,Preto,Dafiti,Sandália Baixa Arezzo Tiras Entrelaçada...,"Calçados,Calçados Femininos,Sandálias","R$ 279,99","R$ 263,19","R$ 279,99",4x
Santa Lolla,Marrom,Dafiti,Bota Feminina Santa Lolla Cano Baixo Couro Marrom,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 449,90",N/A,"R$ 449,90",7x
Moleca,Preto,Dafiti,Sandália Clog  Moleca Plataforma Preta,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 139,99","R$ 89,99","R$ 95,73",1x
Ramarim,Off-white,Dafiti,Tênis Ramarim Recorte Suede Off-White,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 259,90","R$ 129,99","R$ 138,29",2x
Moleca,Bronze,Dafiti,Rasteira Feminina Moleca Fechada Metalizada Bronze,"Calçados,Calçados Femininos,Rasteirinhas","R$ 89,90","R$ 64,99","R$ 69,14",1x
Modare,Preto,Dafiti,Mocassim Feminino Modare Detalhe Corrente Preto,"Calçados,Calçados Femininos,Mocassim","R$ 169,99","R$ 99,99","R$ 106,37",1x
VIA UNO,Caramelo,Dafiti,Mocassim Feminino Via Uno Marrom,"Calçados,Calçados Femininos,Mocassim","R$ 129,99","R$ 94,99","R$ 101,05",1x
Beira Rio,Preto,Dafiti,Rasteira Feminina Beira Rio Detalhe Metá...,"Calçados,Calçados Femininos,Rasteirinhas","R$ 119,99","R$ 79,99","R$ 85,10",1x
Santa Lolla,Preto,Dafiti,Scarpin Feminino Santa Lolla Couro Salto...,"Calçados,Calçados Femininos,Scarpin","R$ 269,90",N/A,"R$ 269,90",4x
Bottero,Nude,Dafiti,Sandália Feminina Bottero Salto Anabela Nude,"Calçados,Calçados Femininos,Sandálias,Sandália Anabela","R$ 279,99","R$ 209,99","R$ 223,39",3x
Jorge Bischoff,Vinho,Dafiti,Sapatilha Feminina Jorge Bischoff Laço Vinho,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 469,00","R$ 219,99","R$ 234,03",3x
VIA UNO,Preto,Dafiti,Rasteira Feminina Via Uno Tiras Cruzadas Preta,"Calçados,Calçados Femininos,Rasteirinhas","R$ 99,90","R$ 59,99","R$ 63,82",1x
Moleca,Marrom,Dafiti,Bota Feminina Moleca Cano Curto Fivela Marrom,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 139,90","R$ 94,99","R$ 101,05",1x
Anacapri,Off-white,Dafiti,Rasteira Feminina Anacapri Tiras Trançad...,"Calçados,Calçados Femininos,Rasteirinhas","R$ 139,99","R$ 109,99","R$ 117,01",1x
Beira Rio,Preto,Dafiti,Sandália Feminina Beira Rio Salto Anabela Preta,"Calçados,Calçados Femininos,Tamanco","R$ 109,99","R$ 79,99","R$ 85,10",1x
Jorge Bischoff,Marrom,Dafiti,Sandália Feminina Jorge Bischoff Salto A...,"Calçados,Calçados Femininos,Sandálias,Sandália Anabela","R$ 549,00","R$ 249,99","R$ 265,95",4x
Bebecê,Bege,Dafiti,Scarpin Feminino Bebecê Salto Quadrado Bege,"Calçados,Calçados Femininos,Scarpin","R$ 129,99","R$ 99,99","R$ 106,37",1x
Vizzano,Off-white,Dafiti,Bota Feminina Vizzano Cano Baixo Salto A...,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 209,99","R$ 134,99","R$ 143,61",2x
Vizzano,Caramelo,Dafiti,Tênis Feminino Vizzano Cadarço Caramelo,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 219,90","R$ 154,99","R$ 164,88",2x
Vizzano,Amarelo,Dafiti,Sapatilha Feminina Vizzano Bico Fino Aju...,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 139,90","R$ 79,99","R$ 85,10",1x
Beira Rio,Preto,Dafiti,Scarpin Feminino Beira Rio Bico Fino Tex...,"Calçados,Calçados Femininos,Scarpin","R$ 149,99","R$ 89,99","R$ 95,73",1x
Bebecê,Preto,Dafiti,Scarpin Feminino Bebecê Salto Bloco Slin...,"Calçados,Calçados Femininos,Scarpin","R$ 129,99","R$ 99,99","R$ 106,37",1x
Moleca,Preto,Dafiti,Sapatilha Feminino Moleca Laço Preta,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Redondo","R$ 139,99","R$ 79,99","R$ 85,10",1x
Lança Perfume,Preto,Dafiti,Rasteira Fechada Lança Perfume Preta com...,"Calçados,Calçados Femininos,Rasteirinhas","R$ 397,00","R$ 179,99","R$ 191,48",3x
Moleca,Preto,Dafiti,Mocassim Feminino Moleca Textura Croco Caramelo,"Calçados,Calçados Femininos,Mocassim","R$ 139,90","R$ 99,99","R$ 106,37",1x
Dakota,Dourado,Dafiti,Rasteira Feminina Dakota Tiras Flores Dourada,"Calçados,Calçados Femininos,Rasteirinhas","R$ 159,99","R$ 109,99","R$ 117,01",1x
Lança Perfume,Preto,Dafiti,Slide Feminina Lança Perfume Detalhe Met...,"Calçados,Calçados Femininos,Rasteirinhas","R$ 373,00","R$ 279,99","R$ 297,86",4x
adidas Originals,Roxo,Dafiti,Tênis Feminino adidas Originals Gazelle ...,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 699,99","R$ 519,99","R$ 553,18",9x
Modare,Preto,Dafiti,Sapatilha Feminina Modare Adorno Dourado Preta,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 129,90","R$ 89,99","R$ 95,73",1x
Bottero,Bege,Dafiti,Sapatilha Feminina Bottero Couro Vazado Bege,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Redondo","R$ 309,99","R$ 259,99","R$ 276,59",4x
Modare,Branco,Dafiti,Tênis Modare Recortes Branco,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 199,99","R$ 159,99","R$ 170,20",2x
Moleca,Preto,Dafiti,Sapatilha Feminina Moleca Matelassê Fivela Preta,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Redondo","R$ 109,90","R$ 44,99","R$ 47,86",1x
Lança Perfume,Bege,Dafiti,Tênis Feminino Lança Perfume Detalhes Do...,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 663,00","R$ 419,99","R$ 446,80",7x
Jorge Bischoff,Marrom,Dafiti,Slingback Feminino Jorge Bischoff Croco Marrom,"Calçados,Calçados Femininos,Scarpin","R$ 599,00","R$ 299,99","R$ 319,14",5x
VIA UNO,Preto,Dafiti,Rasteira Via Uno Tiras Preta,"Calçados,Calçados Femininos,Rasteirinhas","R$ 79,99","R$ 44,99","R$ 47,86",1x
Bebecê,Nude,Dafiti,Scarpin Feminino Bebecê Salto Bloco Slin...,"Calçados,Calçados Femininos,Scarpin","R$ 129,99","R$ 94,99","R$ 101,05",1x
Anacapri,Branco,Dafiti,Tênis Feminino Anacapri Branco Cadarço,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 189,90","R$ 149,99","R$ 159,56",2x
Bebecê,Dourado,Dafiti,Scarpin Feminino Bebecê Metalizado Dourado,"Calçados,Calçados Femininos,Scarpin","R$ 129,99","R$ 99,99","R$ 106,37",1x
Santa Lolla,Bege,Dafiti,Rasteira Feminina Santa Lolla Tiras Marrom,"Calçados,Calçados Femininos,Rasteirinhas","R$ 99,90","R$ 84,99","R$ 90,41",1x
Moleca,Vermelho,Dafiti,Sapatilha Feminina Moleca Laço Vermelha,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 99,99","R$ 69,99","R$ 74,46",1x
Beira Rio,Preto,Dafiti,Scarpin Feminino Beira Rio Tira Pedraria...,"Calçados,Calçados Femininos,Scarpin","R$ 169,90","R$ 69,99","R$ 74,46",1x
Vizzano,Off-white,Dafiti,Sandália Feminina Vizzano Salto Quadrado...,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 189,90","R$ 129,99","R$ 138,29",2x
Modare,Preto,Dafiti,Bota Feminina Modare Cano Curto Preta,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 209,90","R$ 149,99","R$ 159,56",2x
Modare,Marrom,Dafiti,Sandália Feminina Modare Tiras Cruzadas ...,"Calçados,Calçados Femininos,Rasteirinhas","R$ 129,90","R$ 94,99","R$ 101,05",1x
Bottero,Marrom,Dafiti,Rasteira Feminina Bottero Fivela Marrom,"Calçados,Calçados Femininos,Rasteirinhas","R$ 259,99","R$ 189,99","R$ 202,12",3x
Moleca,Caramelo,Dafiti,Tênis Slip On Moleca Texturizado Caramelo,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 79,90","R$ 39,99","R$ 42,54",1x
Usaflex,Marrom,Dafiti,Sandália Feminina Usaflex Salto Médio Marrom,"Calçados,Calçados Femininos,Tamanco","R$ 229,99","R$ 149,99","R$ 159,56",2x
Puma,Bege,Dafiti,Tênis Puma Suede Xl Bege,"Calçados,Calçados Femininos,Tênis,Tênis Casual,Calçados Masculinos,Tênis,Tênis Casual","R$ 599,99","R$ 509,99","R$ 542,54",9x
Moleca,Caramelo,Dafiti,Tênis Feminino Moleca Detalhe Branco Caramelo,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 119,90","R$ 59,99","R$ 63,82",1x
Dakota,Nude,Dafiti,Tênis Dad Sneaker Chunky Dakota Recortes Nude,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 289,99","R$ 209,99","R$ 223,39",3x
Usaflex,Preto,Dafiti,Sandália Feminina Usaflex Salto Anabela Preta,"Calçados,Calçados Femininos,Sandálias","R$ 279,99","R$ 129,99","R$ 138,29",2x
Moleca,Marrom,Dafiti,Bota Feminina Moleca Cano Baixo Marrom,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 179,90","R$ 159,99","R$ 170,20",2x
VIA UNO,Marrom,Dafiti,Tênis Feminino VIA UNO Plataforma Marrom,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 179,99","R$ 119,99","R$ 127,65",2x
Bebecê,Marrom,Dafiti,Scarpin Feminino Bebecê Bico Fino Marrom,"Calçados,Calçados Femininos,Scarpin","R$ 119,99","R$ 89,99","R$ 95,73",1x
Bottero,Preto,Dafiti,Bota Feminina Bottero Cano Baixo Couro Preta,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 519,99",N/A,"R$ 519,99",8x
VIA UNO,Dourado,Dafiti,Tênis Feminino Via Uno Metalizado Dourado,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 149,99","R$ 99,99","R$ 106,37",1x
Luiza Barcelos,Nude,Dafiti,Sapatilha Feminina Luiza Barcelos Laço T...,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Redondo","R$ 659,90","R$ 419,99","R$ 446,80",7x
Colcci,Dourado,Dafiti,Tênis Feminino Colcci Cano Baixo Dourado,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 379,99","R$ 229,99","R$ 244,67",4x
Vizzano,Marrom,Dafiti,Sandália Feminina Vizzano Salto Anabela Marrom,"Calçados,Calçados Femininos,Sandálias,Sandália Anabela","R$ 179,99","R$ 129,99","R$ 138,29",2x
Moleca,Off-white,Dafiti,Mocassim Feminino Moleca Detalhe Metaliz...,"Calçados,Calçados Femininos,Mocassim","R$ 99,90","R$ 44,99","R$ 47,86",1x
Bebecê,Marrom,Dafiti,Scarpin Bebecê Bico Fino Marrom,"Calçados,Calçados Femininos,Scarpin","R$ 129,99","R$ 104,99","R$ 111,69",1x
Vizzano,Preto,Dafiti,Scarpin Feminino Vizzano Salto Fino Tiras Preto,"Calçados,Calçados Femininos,Scarpin","R$ 169,90","R$ 109,99","R$ 117,01",1x
Osklen,Cinza,Dafiti,Tênis Osklen Recortes Cinza,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 397,00","R$ 229,99","R$ 244,67",4x
Bebecê,Off-white,Dafiti,Sapatilha Feminina Bebecê Alça Trançada ...,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 89,99","R$ 64,99","R$ 69,14",1x
Via Marte,Preto,Dafiti,Tênis Via Marte Recorte Preto,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 249,99","R$ 114,99","R$ 122,33",2x
Vizzano,Off-white,Dafiti,Rasteira Flat Vizzano Aplicação Off-White,"Calçados,Calçados Femininos,Rasteirinhas","R$ 129,90","R$ 59,99","R$ 63,82",1x
Modare,Bege,Dafiti,Sandália Anabela Modare Tira Hotfix Bege,"Calçados,Calçados Femininos,Sandálias,Sandália Anabela","R$ 159,90","R$ 89,99","R$ 95,73",1x
Vizzano,Preto,Dafiti,Bota Vizzano Cano Baixo Fivela Preto,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 209,99","R$ 129,99","R$ 138,29",2x
Anacapri,Preto,Dafiti,Sandália Feminina Anacapri Salto Baixo Preta,"Calçados,Calçados Femininos,Sandálias","R$ 259,90","R$ 209,99","R$ 223,39",3x
Modare,Preto,Dafiti,Sandália Feminina Modare Anabela Preta,"Calçados,Calçados Femininos,Sandálias,Sandália Anabela","R$ 139,90","R$ 99,99","R$ 106,37",1x
Modare,Branco,Dafiti,Scarpin Feminino Modare Bico Fino Salto ...,"Calçados,Calçados Femininos,Scarpin","R$ 139,99","R$ 109,99","R$ 117,01",1x
Modare,Marrom,Dafiti,Mocassim Tratorado Modare Bridão Marrom,"Calçados,Calçados Femininos,Mocassim","R$ 139,90","R$ 99,99","R$ 106,37",1x
VIA UNO,Preto,Dafiti,Sapatilha Via Uno Matelassê Preta,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Redondo","R$ 99,99","R$ 69,99","R$ 74,46",1x
Bebecê,Bege,Dafiti,Scarpin Feminino Bebecê Salto Baixo Amar...,"Calçados,Calçados Femininos,Scarpin","R$ 119,99","R$ 99,99","R$ 106,37",1x
Moleca,Branco,Dafiti,Tênis Moleca Recorte Branco,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 109,90","R$ 59,99","R$ 63,82",1x
Santa Lolla,Bege,Dafiti,Tênis Feminino Santa Lolla Detalhe Retrô...,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 349,90","R$ 189,99","R$ 202,12",3x
Via Mia,Preto,Dafiti,Mocassim Via Mia Suede Preto,"Calçados,Calçados Femininos,Mocassim","R$ 129,99","R$ 79,99","R$ 85,10",1x
Bebecê,Cinza,Dafiti,Sapatilha Mule Bebecê Metalizada Grafite,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Redondo","R$ 89,99","R$ 69,99","R$ 74,46",1x
Ramarim,Marrom,Dafiti,Tênis Feminino Ramarim Detalhe Metálico Marrom,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 199,90","R$ 139,99","R$ 148,93",2x
Arezzo,Prata,Dafiti,Rasteira Feminina Arezzo Tiras Brilhantes Prateada,"Calçados,Calçados Femininos,Rasteirinhas","R$ 199,90","R$ 99,90","R$ 106,28",1x
Luiza Barcelos,Bege,Dafiti,Rasteira Feminina Luiza Barcelos Fechada...,"Calçados,Calçados Femininos,Rasteirinhas","R$ 799,90","R$ 499,99","R$ 531,90",8x
Moleca,Bege,Dafiti,Rasteira Feminina Moleca Tiras Cruzadas Bege,"Calçados,Calçados Femininos,Rasteirinhas","R$ 79,90","R$ 44,99","R$ 47,86",1x
VIA UNO,Preto,Dafiti,Bota Feminina VIA UNO Cano Curto Preta,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 129,99","R$ 99,99","R$ 106,37",1x
Colcci,Azul Marinho,Dafiti,Tênis Feminino Colcci Cano Baixo Azul Escuro,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 259,99","R$ 199,99","R$ 212,76",3x
Modare,Bege,Dafiti,Mocassim Modare Bridão Bege,"Calçados,Calçados Femininos,Mocassim","R$ 129,90","R$ 104,99","R$ 111,69",1x
VIA UNO,Vermelho,Dafiti,Tamanco Via Uno Liso Vermelho,"Calçados,Calçados Femininos,Tamanco","R$ 109,99","R$ 54,99","R$ 58,50",1x
Beira Rio,Nude,Dafiti,Sandália Feminina Beira Rio Salto Bloco Nude,"Calçados,Calçados Femininos,Tamanco","R$ 129,99","R$ 89,99","R$ 95,73",1x
Anacapri,Preto,Dafiti,Mocassim Feminino Anacapri Detalhe Metal...,"Calçados,Calçados Femininos,Mocassim","R$ 189,90","R$ 99,99","R$ 106,37",1x
Jorge Bischoff,Marrom,Dafiti,Mocassim Jorge Bischoff Couro Marrom,"Calçados,Calçados Femininos,Mocassim","R$ 499,00","R$ 329,99","R$ 351,05",5x
Anacapri,Dourado,Dafiti,Rasteira ANACAPRI 2 tiras Dourada,"Calçados,Calçados Femininos,Rasteirinhas","R$ 154,90","R$ 109,99","R$ 117,01",1x
Colcci,Preto,Dafiti,Tênis Feminino Colcci Com Cadarço Preto,"Calçados,Calçados Femininos,Tênis,Tênis performance,Esporte,Esporte Feminino,Calçados,Tênis Performance","R$ 269,90","R$ 139,99","R$ 148,93",2x
Kolosh,Preto,Dafiti,Tênis Kolosh Recortes Preto,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 199,99","R$ 159,99","R$ 170,20",2x
Moleca,Preto,Dafiti,Sapatilha Feminina Moleca Laço Preta,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Redondo","R$ 99,90","R$ 69,99","R$ 74,46",1x
Santa Lolla,Vinho,Dafiti,Scarpin Feminino Santa Lolla Bico Fino Vinho,"Calçados,Calçados Femininos,Scarpin","R$ 229,90","R$ 179,99","R$ 191,48",3x
Via Mia,Marrom,Dafiti,Sapatilha Via Mia Lisa Marrom,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Redondo","R$ 99,99","R$ 64,99","R$ 69,14",1x
