Marca,Cor,Vendedor,Produto,Tags,Preço Original,Preço Pix,Preço Parcelado,Quantidade de Parcelas
Vizzano,Preto,Dafiti,Sapatilha Vizzano Verniz Preta,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 99,90","R$ 84,99","R$ 90,41",1x
Santa Lolla,Preto,Dafiti,Sandália Feminina Santa Lolla Salto Fino Preta,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Fino","R$ 199,90","R$ 139,99","R$ 148,93",2x
Bebecê,Caramelo,Dafiti,Sandália Bebecê Lisa Caramelo,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 99,99","R$ 79,99","R$ 85,10",1x
Santa Lolla,Bordô,Dafiti,Sandália Feminina Santa Lolla Tiras Esfe...,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 169,90","R$ 124,99","R$ 132,97",2x
Bebecê,Nude,Dafiti,Scarpin Médio Bebecê Slingback Nude,"Calçados,Calçados Femininos,Scarpin","R$ 119,99",N/A,"R$ 119,99",2x
Vizzano,Branco,Dafiti,Sandália Vizzano Salto Grosso Branca,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 129,99","R$ 104,99","R$ 111,69",1x
Bebecê,Nude,Dafiti,Sapatilha Feminina Bebecê Bico Fino Nude,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 89,99","R$ 74,99","R$ 79,78",1x
Jorge Bischoff,Nude,Dafiti,Scarpin Jorge Bischoff de Couro Recorte Nude,"Calçados,Calçados Femininos,Scarpin","R$ 549,00","R$ 259,99","R$ 276,59",4x
Santa Lolla,Preto,Dafiti,Scarpin Santa Lolla Verniz Preto,"Calçados,Calçados Femininos,Scarpin","R$ 209,99",N/A,"R$ 209,99",3x
Bebecê,Branco,Dafiti,Sandália Bebecê Bloco Branca,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 99,99","R$ 89,99","R$ 95,73",1x
Bebecê,Preto,Dafiti,Scarpin Feminino Bebecê Salto Médio Bico...,"Calçados,Calçados Femininos,Scarpin","R$ 129,99","R$ 99,99","R$ 106,37",1x
Vizzano,Marrom,Dafiti,Sandália Feminina Vizzano Salto Bloco Caramelo,"Calçados,Calçados Femininos,Sandálias","R$ 139,99","R$ 104,99","R$ 111,69",1x
Puma,Rosa,Dafiti,Tênis Puma Palermo Rosa,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 549,99","R$ 339,99","R$ 361,69",6x
Bebecê,Marrom,Dafiti,Bota Feminina Bebecê Cano Alto Marrom,"Calçados,Calçados Femininos,Botas,Bota Montaria e Cano Longo","R$ 299,99","R$ 219,99","R$ 234,03",3x
Moleca,Caramelo,Dafiti,Rasteira Papete Moleca Tachas Caramelo,"Calçados,Calçados Femininos,Papete","R$ 139,90","R$ 89,99","R$ 95,73",1x
Bebecê,Preto,Dafiti,Sapatilha Feminina Bebecê Bico Fino Preta,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 89,99","R$ 79,99","R$ 85,10",1x
Jorge Bischoff,Dourado,Dafiti,Sapatilha Feminina Jorge Bischoff Metali...,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Redondo","R$ 449,00","R$ 169,99","R$ 180,84",3x
Vizzano,Marrom,Dafiti,Scarpin Feminino Vizzano Salto Bloco Bic...,"Calçados,Calçados Femininos,Scarpin","R$ 139,90","R$ 109,99","R$ 117,01",1x
New Balance,Branco,Dafiti,Tênis Unissex New Balance 740 Branco,"Calçados,Calçados Femininos,Tênis,Tênis Casual,Calçados Masculinos,Tênis,Tênis Casual","R$ 749,99","R$ 704,98","R$ 749,98",10x
Santa Lolla,Preto,Dafiti,Sandália Feminina Santa Lolla Salto Médi...,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 199,90","R$ 139,99","R$ 148,93",2x
Comfortflex,Preto,Dafiti,Bota Feminina Comfortflex Cano Baixo Preta,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 209,99","R$ 189,99","R$ 202,12",3x
VIA UNO,Off-white,Dafiti,Sapatilha Feminina VIA UNO Detalhe Fivel...,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Redondo","R$ 109,99",N/A,"R$ 109,99",1x
Jorge Bischoff,Azul,Dafiti,Scarpin Jorge Bischoff Aplicação Azul,"Calçados,Calçados Femininos,Scarpin","R$ 589,00","R$ 299,99","R$ 319,14",5x
VIA UNO,Dourado,Dafiti,Sapatilha Via Uno Metalizada Dourada,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Redondo","R$ 99,99","R$ 69,99","R$ 74,46",1x
Santa Lolla,Preto,Dafiti,Bota Santa Lolla Cano Baixo Recortes Preta,"Calçados,Calçados Femininos,Bota Cano Curto","R$ 299,90","R$ 229,99","R$ 244,67",4x
Santa Lolla,Bege,Dafiti,Scarpin Santa Lolla Liso Bege,"Calçados,Calçados Femininos,Scarpin","R$ 229,90","R$ 174,99","R$ 186,16",3x
adidas Originals,Preto,Dafiti,Tênis Unissex adidas Originals Samba Lt Preto,"Calçados,Calçados Femininos,Tênis,Tênis Casual,Calçados Masculinos,Tênis,Tênis Casual","R$ 799,99","R$ 479,99","R$ 510,63",8x
Santa Lolla,Vinho,Dafiti,Sandália Feminina Santa Lolla Salto Alto...,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Fino","R$ 189,90","R$ 149,99","R$ 159,56",2x
Modare,Preto,Dafiti,Sandália Modare Recorte Preta,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 129,99","R$ 104,99","R$ 111,69",1x
VIA UNO,Off-white,Dafiti,Sapatilha Via Uno Matelassê Off-White,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Redondo","R$ 99,99","R$ 84,99","R$ 90,41",1x
Bebecê,Preto,Dafiti,Sapatilha Feminina Becece Ponta Fina Preta,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 89,99","R$ 69,99","R$ 74,46",1x
Vizzano,Preto,Dafiti,Sandália Feminina Vizzano Maxi Fivela Preta,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 139,99","R$ 89,99","R$ 95,73",1x
Santa Lolla,Off-white,Dafiti,Sandália Santa Lolla Tiras Off-White,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Fino","R$ 294,99","R$ 189,99","R$ 202,12",3x
Vizzano,Verde,Dafiti,Rasteira Feminina Vizzano Aberta Verde,"Calçados,Calçados Femininos,Rasteirinhas","R$ 79,90","R$ 54,99","R$ 58,50",1x
Jorge Bischoff,Preto,Dafiti,Bota Jorge Bischoff Cano Baixo de Couro ...,"Calçados,Calçados Femininos,Bota Cano Curto","R$ 699,00","R$ 369,99","R$ 393,61",6x
Santa Lolla,Bordô,Dafiti,Scarpin Santa Lolla Salto Slingback Verniz Bordô,"Calçados,Calçados Femininos,Scarpin","R$ 209,99","R$ 159,99","R$ 170,20",2x
Arezzo,Dourado,Dafiti,Rasteira Feminina Arezzo Tiras Finas Dourada,"Calçados,Calçados Femininos,Rasteirinhas","R$ 149,90","R$ 109,99","R$ 117,01",1x
Bebecê,Preto,Dafiti,Sandália Feminina Bebecê Salto Bloco Bic...,"Calçados,Calçados Femininos,Sandálias","R$ 109,99","R$ 64,99","R$ 69,14",1x
Beira Rio,Bege,Dafiti,Rasteira Feminina Beira Rio Tiras Cruzadas Bege,"Calçados,Calçados Femininos,Rasteirinhas","R$ 49,99","R$ 34,99","R$ 37,22",1x
VIA UNO,Marrom,Dafiti,Scarpin Feminino Via Uno Salto Grosso Bi...,"Calçados,Calçados Femininos,Scarpin","R$ 119,99","R$ 59,99","R$ 63,82",1x
Dakota,Preto,Dafiti,Bota Dakota Cano Curto Preta,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 329,99","R$ 159,99","R$ 170,20",2x
Usaflex,Preto,Dafiti,Sandália Feminina Usaflex Anabela Baixa Preta,"Calçados,Calçados Femininos,Sandálias","R$ 189,99","R$ 99,99","R$ 106,37",1x
Bottero,Nude,Dafiti,Sapatilha Feminina Bottero Bico Fino Nude,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 199,99","R$ 139,99","R$ 148,93",2x
Vizzano,Preto,Dafiti,Sandália Feminina Vizzano Animal Print Preta,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 129,99","R$ 89,99","R$ 95,73",1x
Vizzano,Caramelo,Dafiti,Mocassim Vizzano Clássico Caramelo,"Calçados,Calçados Femininos,Mocassim","R$ 129,90","R$ 74,99","R$ 79,78",1x
Santa Lolla,Branco,Dafiti,Tênis Slip On Flatform Santa Lolla Liso Branco,"Calçados,Calçados Femininos,Tênis,Slip On","R$ 159,99","R$ 119,99","R$ 127,65",2x
Vizzano,Preto,Dafiti,Tamanco Vizzano Liso Preto,"Calçados,Calçados Femininos,Tamanco","R$ 94,99","R$ 79,99","R$ 85,10",1x
VIA UNO,Preto,Dafiti,Bota Via Uno Cano Baixo Aplicação Preta,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 219,99","R$ 174,99","R$ 186,16",3x
Ramarim,Verde,Dafiti,Tênis Ramarim Recortes Verde,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 299,90","R$ 199,99","R$ 212,76",3x
Beira Rio,Preto,Dafiti,Bota Beira Rio Cano Baixo Preto,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 219,99","R$ 169,99","R$ 180,84",3x
Vizzano,Marrom,Dafiti,Tênis Vizzano Recorte Lateral Marrom,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 149,99","R$ 89,99","R$ 95,73",1x
Bebecê,Branco,Dafiti,Sapato Feminino Bebecê Salto Bloco Tiras Branco,"Calçados,Calçados Femininos,Scarpin","R$ 129,99",N/A,"R$ 129,99",2x
VIA UNO,Marrom,Dafiti,Sandália Feminina VIA UNO Salto Baixo Marrom,"Calçados,Calçados Femininos,Sandálias","R$ 129,99","R$ 94,99","R$ 101,05",1x
